geo.area,new.area
continental,Continental
United States,United States of America
Canada,Canada
British Columbia,British Columbia
CALIFORNIA,CALIFORNIA
COLORADO,COLORADO
CONNECTICUT,CONNECTICUT
ALABAMA,ALABAMA
DELAWARE,DELAWARE
FLORIDA,FLORIDA
GEORGIA,GEORGIA
IDAHO,IDAHO
ILLINOIS,ILLINOIS
INDIANA,INDIANA
IOWA,IOWA
KANSAS,KANSAS
KENTUCKY,KENTUCKY
Alberta,Alberta
LOUISIANA,LOUISIANA
MAINE,MAINE
Manitoba,Manitoba
MARYLAND,MARYLAND
MASSACHUSETTS,MASSACHUSETTS
MICHIGAN,MICHIGAN
MINNESOTA,MINNESOTA
MISSISSIPPI,MISSISSIPPI
MISSOURI,MISSOURI
MONTANA,MONTANA
NEBRASKA,NEBRASKA
NEVADA,NEVADA
New Brunswick,New Brunswick
Newfoundland and Labrador,Newfoundland and Labrador
NEW HAMPSHIRE,NEW HAMPSHIRE
NEW JERSEY,NEW JERSEY
ARIZONA,ARIZONA
NEW MEXICO,NEW MEXICO
NEW YORK,NEW YORK
NORTH CAROLINA,NORTH CAROLINA
NORTH DAKOTA,NORTH DAKOTA
OHIO,OHIO
OKLAHOMA,OKLAHOMA
Ontario,Ontario
OREGON,OREGON
ARKANSAS,ARKANSAS
PENNSYLVANIA,PENNSYLVANIA
Quebec,Quebec
Nova Scotia Prince Edward Island,NSPE
RHODE ISLAND,RHODE ISLAND
Saskatchewan,Saskatchewan
SOUTH CAROLINA,SOUTH CAROLINA
SOUTH DAKOTA,SOUTH DAKOTA
TENNESSEE,TENNESSEE
TEXAS,TEXAS
UTAH,UTAH
VERMONT,VERMONT
VIRGINIA,VIRGINIA
WASHINGTON,WASHINGTON
WEST VIRGINIA,WEST VIRGINIA
WISCONSIN,WISCONSIN
WYOMING,WYOMING
ALASKA,ALASKA
Northwest Territories,Northwest Territories
Yukon,Yukon
All BCR-5,BCR_5
All BCR-10,BCR_10
All BCR-9,BCR_9
All BCR-32,BCR_32
All BCR-33,BCR_33
All BCR-15,BCR_15
All BCR-16,BCR_16
All BCR-18,BCR_18
All BCR-30,BCR_30
All BCR-27,BCR_27
All BCR-29,BCR_29
All BCR-24,BCR_24
All BCR-28,BCR_28
All BCR-31,BCR_31
All BCR-23,BCR_23
All BCR-22,BCR_22
All BCR-11,BCR_11
All BCR-19,BCR_19
All BCR-6,BCR_6
All BCR-26,BCR_26
All BCR-37,BCR_37
All BCR-25,BCR_25
All BCR-14,BCR_14
All BCR-12,BCR_12
All BCR-17,BCR_17
All BCR-8,BCR_8
All BCR-34,BCR_34
All BCR-35,BCR_35
All BCR-13,BCR_13
All BCR-21,BCR_21
All BCR-36,BCR_36
All BCR-20,BCR_20
All BCR-4,BCR_4
All BCR-7,BCR_7
All BCR-2,BCR_2
All BCR-3,BCR_3
BCR-5,Canada-BCR_5
BCR-10,Canada-BCR_10
BCR-9,Canada-BCR_9
BCR-11,Canada-BCR_11
BCR-6,Canada-BCR_6
BCR-12,Canada-BCR_12
BCR-14,Canada-BCR_14
BCR-8,Canada-BCR_8
BCR-13,Canada-BCR_13
BCR-4,Canada-BCR_4
BCR-7,Canada-BCR_7
British Columbia-BCR5,CA-BC-5
British Columbia-BCR10,CA-BC-10
British Columbia-BCR9,CA-BC-9
CALIFORNIA-BCR5,US-CA-5
CALIFORNIA-BCR32,US-CA-32
CALIFORNIA-BCR33,US-CA-33
CALIFORNIA-BCR15,US-CA-15
CALIFORNIA-BCR9,US-CA-9
COLORADO-BCR10,US-CO-10
COLORADO-BCR16,US-CO-16
COLORADO-BCR18,US-CO-18
CONNECTICUT-BCR30,US-CT-30
